@RELATION reviews-de

@ATTRIBUTE hasPicture             NUMERIC
@ATTRIBUTE hasVideo               NUMERIC
@ATTRIBUTE isPurchaseVerified     NUMERIC
@ATTRIBUTE length                 NUMERIC
@ATTRIBUTE rating                 NUMERIC
@ATTRIBUTE sentimentAnalysis      NUMERIC
@ATTRIBUTE sentimentRatingOffset  NUMERIC
@ATTRIBUTE consecutiveCaps        NUMERIC
@ATTRIBUTE consecutivePeriods     NUMERIC
@ATTRIBUTE consCapsTextRatio      NUMERIC
@ATTRIBUTE consPeriodsTextRatio   NUMERIC
@ATTRIBUTE distinctWordRatio      NUMERIC
@ATTRIBUTE averageWordLength      NUMERIC
@ATTRIBUTE numberOfLineBreaks     NUMERIC
@ATTRIBUTE numberOfQuestionMarks  NUMERIC
@ATTRIBUTE numberOfExclMarks      NUMERIC
@ATTRIBUTE lineBreakTextRatio     NUMERIC
@ATTRIBUTE punctuationLetterRatio NUMERIC
@ATTRIBUTE persona                {Expert,Rager,Euphoric,Complainer,WaitingForMrPerfect,BeatingAroundTheBush,NoDemands}

@DATA
1,0,1,5656,5,5,5,19,0,0.003422806701495226,0.0,0.5278725824800911,6.315130830489192,35,0,1,0.03981797497155859,0.0011376564277588168,Expert
0,0,1,385,1,1,5,0,0,0.0,0.0,0.9137931034482759,6.586206896551724,1,0,2,0.017241379310344827,0.034482758620689655,Complainer
1,0,1,1993,2,5,8,0,4,0.0,0.002028397565922921,0.7109634551495017,6.5514950166112955,7,0,3,0.023255813953488372,0.009966777408637873,BeatingAroundTheBush
1,0,1,544,5,5,5,0,0,0.0,0.0,0.8823529411764706,6.4,0,0,0,0.0,0.0,Euphoric
1,0,1,313,5,5,5,0,0,0.0,0.0,0.8541666666666666,6.145833333333333,6,0,1,0.125,0.020833333333333332,Expert
0,0,1,337,4,5,6,0,0,0.0,0.0,0.8235294117647058,6.019607843137255,10,0,0,0.19607843137254902,0.0,Expert
0,0,1,73,1,1,5,0,0,0.0,0.0,1.0,6.636363636363637,0,0,1,0.0,0.09090909090909091,Complainer
0,0,1,950,4,5,6,2,0,0.002105263157894737,0.0,0.7692307692307693,6.089743589743589,0,0,0,0.0,0.0,Expert
0,0,1,205,4,5,6,0,0,0.0,0.0,0.8709677419354839,6.516129032258065,1,0,2,0.03225806451612903,0.06451612903225806,WaitingForMrPerfect
0,0,1,3103,3,5,7,0,4,0.0,0.0013042060645582002,0.6799116997792495,6.770419426048565,12,1,0,0.026490066225165563,0.002207505518763797,Expert
0,0,1,291,1,1,5,0,0,0.0,0.0,0.8541666666666666,6.0625,0,0,0,0.0,0.0,Complainer
0,1,0,1476,5,5,5,16,0,0.011299435028248588,0.0,0.775,7.08,20,0,1,0.1,0.005,Expert
0,0,1,619,1,1,5,0,0,0.0,0.0,0.8181818181818182,6.252525252525253,0,0,3,0.0,0.030303030303030304,Complainer
0,0,1,110,1,2,6,0,0,0.0,0.0,1.0,6.111111111111111,0,0,0,0.0,0.0,WaitingForMrPerfect
0,0,1,221,1,1,5,0,0,0.0,0.0,0.8787878787878788,6.606060606060606,1,0,4,0.030303030303030304,0.12121212121212122,Rager
